$ ps -axo pid,ppid,pcpu,pmem,rss,vsz,etime,state,comm,args | awk 'NR==1 || /\/Users\/Michael\/Code\/agent-os\/aos serve/ || /com\.apple\.WebKit/'
  PID  PPID  %CPU %MEM    RSS      VSZ  ELAPSED STAT COMM             ARGS
47618     1   0.0  0.0   7904 439779440    25:07 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
47620     1   0.0  0.1  11280 439715888    25:07 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
47621     1   0.0  0.0   3760 507659504    25:07 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
47761     1   0.0  0.0   2976 507365840    24:30 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65507     1   0.3  0.4  64080 440569520    04:26 S    /Users/Michael/C /Users/Michael/Code/agent-os/aos serve --idle-timeout none
65525     1   0.0  0.1  16800 440727328    04:18 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
65545     1   0.0  0.1  10512 439726096    04:17 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
65549     1   0.0  0.1  20272 507371296    04:16 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65561     1   0.0  0.1  18336 507370080    04:12 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65567     1   0.0  0.1  18784 507375680    04:11 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65568     1   0.0  0.1  20416 507596656    04:11 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65587     1   0.0  0.1  18768 507363136    04:08 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65589     1   0.0  0.1  18768 507362736    04:08 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65595     1   0.0  0.1  18144 507373792    04:06 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65598     1   0.0  0.1  18192 507374928    04:06 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65599     1   0.0  0.1  19984 507382464    04:06 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
